"Date","Price","Open","High","Low","Vol.","Change %"
"02/10/2024","4,963.29","4,961.73","4,983.22","4,931.56","25.21M","0.18%"
"01/10/2024","4,954.15","5,004.37","5,016.88","4,933.39","31.88M","-0.93%"
"30/09/2024","5,000.45","5,060.76","5,060.76","5,000.45","35.00M","-1.32%"
"27/09/2024","5,067.45","5,028.35","5,071.41","5,028.35","27.22M","0.69%"
"26/09/2024","5,032.59","4,956.34","5,035.44","4,956.34","31.63M","2.35%"
"25/09/2024","4,916.89","4,928.15","4,933.37","4,905.33","19.76M","-0.48%"
"24/09/2024","4,940.72","4,907.58","4,953.69","4,907.58","20.38M","1.13%"
"23/09/2024","4,885.57","4,875.62","4,893.98","4,854.93","21.86M","0.29%"
"20/09/2024","4,871.54","4,929.15","4,930.22","4,868.80","53.93M","-1.45%"
"19/09/2024","4,943.38","4,862.41","4,943.38","4,862.41","29.18M","2.24%"
"18/09/2024","4,835.30","4,861.52","4,864.60","4,831.09","19.65M","-0.52%"
"17/09/2024","4,860.78","4,832.82","4,879.61","4,832.82","22.51M","0.69%"
"16/09/2024","4,827.63","4,835.16","4,852.71","4,820.11","16.65M","-0.34%"
"13/09/2024","4,843.99","4,817.74","4,853.89","4,817.74","19.22M","0.62%"
"12/09/2024","4,814.08","4,777.77","4,836.64","4,777.77","21.94M","1.06%"
"11/09/2024","4,763.58","4,752.58","4,796.49","4,735.95","22.66M","0.35%"
"10/09/2024","4,747.20","4,779.55","4,803.37","4,736.89","25.14M","-0.66%"
"09/09/2024","4,778.66","4,745.21","4,797.75","4,745.21","18.48M","0.86%"
"06/09/2024","4,738.06","4,806.59","4,829.28","4,732.86","26.62M","-1.60%"
"05/09/2024","4,815.15","4,840.70","4,854.33","4,814.77","20.34M","-0.68%"
"04/09/2024","4,848.18","4,889.17","4,889.17","4,838.83","20.84M","-1.31%"
"03/09/2024","4,912.52","4,977.97","4,986.74","4,906.98","21.27M","-1.22%"
